idx,id,bbox
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000001.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000002.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000003.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000004.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000005.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000006.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000007.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000008.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000009.npy,
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000010.npy,0 0.73046875 0.6875 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000011.npy,0 0.728515625 0.6953125 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000012.npy,0 0.724609375 0.701171875 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000013.npy,0 0.685546875 0.734375 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000013.npy,0 0.71484375 0.703125 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000014.npy,0 0.689453125 0.728515625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000014.npy,0 0.7109375 0.708984375 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000014.npy,0 0.76953125 0.322265625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000015.npy,0 0.705078125 0.720703125 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000015.npy,0 0.771484375 0.33203125 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000016.npy,0 0.6953125 0.72265625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000016.npy,0 0.771484375 0.337890625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000017.npy,0 0.69140625 0.72265625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000017.npy,0 0.771484375 0.337890625 0.03125 0.03125
1,/home/ubuntu/dlcv_final/skull/train/H1_00000002_00000691/H1_00000002_00000691_00000018.npy,0 0.6875 0.724609375 0.03125 0.03125
